Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\support\coreutils,1,130,122,112,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\support\design,1,1945,1937,1978,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\support\fragment,1,130,122,112,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\support\graphics,2,260,244,224,0,4,0,12,64,12,64
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\support\graphics\drawable,2,260,244,224,0,4,0,12,64,12,64
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\support\graphics\drawable\animated,1,130,122,112,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\support\mediacompat,1,153,145,135,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\support\transition,1,163,155,145,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\support\v4,1,153,145,135,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\support\v7,3,1756,1732,1739,0,6,0,18,96,18,96
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\support\v7\appcompat,1,1541,1533,1554,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\support\v7\cardview,1,57,49,44,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\support\v7\recyclerview,1,158,150,141,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\butterknife,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com,40,11255,10935,11022,0,80,0,240,1280,240,1280
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\android,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\android\volley,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\directions,1,133,125,120,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\directions\route,1,133,125,120,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\firebase,3,375,351,332,0,6,0,18,96,18,96
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\firebase\geofire,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\firebase\ui,2,364,348,330,0,4,0,12,64,12,64
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\firebase\ui\common,1,181,173,164,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\firebase\ui\database,1,183,175,166,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google,29,501,269,234,0,58,0,174,928,174,928
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\android,13,325,221,202,0,26,0,78,416,78,416
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\android\gms,13,325,221,202,0,26,0,78,416,78,416
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\android\gms\base,2,22,6,4,0,4,0,12,64,12,64
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\android\gms\base\license,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\android\gms\common,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\android\gms\common\license,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\android\gms\location,2,22,6,4,0,4,0,12,64,12,64
