File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\android\gms\tasks\license\R.java,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\R.java,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\auth\api\R.java,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\database\R.java,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\database\connection\R.java,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\firebase\auth\api\license\R.java,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\firebase\common\license\R.java,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\firebase\database\connection\license\R.java,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\firebase\database\license\R.java,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\firebase\iid\license\R.java,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\firebase\storage\api\license\R.java,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\firebase\storage\common\license\R.java,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\firebase_core\R.java,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\iid\R.java,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\measurement\impl\license\R.java,11,3,2,0,2,0,6,32,6,32
