Word,Count
pashainc.google.com.safesafari:elevation,6
android:layout_gravity,6
android:minWidth,6
pashainc.google.com.safesafari.test:elevation,6
android:background}</code></td><td></td></tr>,6
android:background,6
#ForegroundLinearLayout},6
android.R.attr#background},6
#BezelImageView},6
#CompoundButton},6
#FontFamilyFont},6
android:minHeight,6
#ViewStubCompat},6
android.R.attr#minWidth},6
android.R.attr#minHeight},6
#DesignTheme},6
android:minWidth}</code></td><td></td></tr>,6
if,6
pashainc.google.com.safesafari:elevation}</code></td><td></td></tr>,6
Start,5
\"\\,5
\"\+\,5
#SwitchCompat_thumbTintMode,4
#AppCompatTheme_textAppearanceListItemSmall,4
#Iconics_ico_size,4
#AppCompatTheme_alertDialogCenterButtons,4
#DrawerArrowToggle_arrowShaftLength,4
#TabLayout_tabPaddingTop,4
#ConstraintLayout_Layout_layout_constraintHorizontal_bias,4
<tr><td>satellite</td><td>2</td><td></td></tr>,4
#TabItem_android_text,4
android:focusable,4
#ConstraintLayout_Layout_layout_constraintTop_toTopOf,4
#AppCompatTheme_checkboxStyle,4
#TextAppearance_android_shadowRadius,4
#Toolbar_contentInsetEndWithActions,4
#MaterialDrawer_material_drawer_background,4
#AppCompatTheme_listPopupWindowStyle,4
#ActionBar_contentInsetLeft,4
#CompoundButton_buttonTint,4
#CardView_cardMaxElevation,4
#SearchView_queryBackground,4
#MaterialDrawer_material_drawer_selected_text,4
#LinearLayoutCompat_android_baselineAligned,4
#PopupWindow_android_popupBackground,4
#NavigationView_headerLayout,4
#ViewStubCompat_android_id,4
#ConstraintSet_layout_constraintStart_toStartOf,4
#ConstraintSet_android_transformPivotY,4
#FloatingActionButton_fabSize,4
#AppCompatTheme_actionButtonStyle,4
#ConstraintSet_layout_constraintEnd_toEndOf,4
#AppCompatTheme_android_windowIsFloating,4
#TabLayout_tabPadding,4
#SearchView_android_focusable,4
android:icon}</code></td><td></td></tr>,4
#AppCompatTheme_actionBarItemBackground,4
#AlertDialog_singleChoiceItemLayout,4
#ConstraintLayout_Layout_layout_constraintHeight_default,4
android:thumb,4
#AppCompatTheme_listPreferredItemPaddingRight,4
#ConstraintLayout_Layout_layout_constraintDimensionRatio,4
#AppCompatSeekBar_tickMarkTintMode,4
#CoordinatorLayout_Layout_layout_anchor,4
#AppCompatTheme_actionBarSplitStyle,4
#MenuGroup_android_id,4
android.R.attr#popupBackground},4
#SwitchCompat_switchPadding,4
<tr><td>never</td><td>0</td><td></td></tr>,4
#AppCompatTheme_colorError,4
#LinearLayoutCompat_Layout_android_layout_weight,4
#MenuGroup_android_visible,4
#AppCompatTheme_colorControlHighlight,4
#ConstraintLayout_Layout_android_minHeight,4
android:visible}</code></td><td></td></tr>,4
#AppCompatTheme_windowActionModeOverlay,4
#MaterialEditText_met_accentTypeface,4
#Toolbar_navigationContentDescription,4
#MapAttrs_zOrderOnTop,4
#MaterialDrawer_material_drawer_selected,4
#TextAppearance_android_shadowDx,4
#CollapsingToolbarLayout_Layout_layout_collapseParallaxMultiplier,4
android:icon,4
#MapAttrs_cameraMaxZoomPreference,4
#RecyclerView_android_orientation,4
#AppCompatTheme_homeAsUpIndicator,4
#MapAttrs_latLngBoundsNorthEastLatitude,4
#TextInputLayout_android_hint,4
#AppCompatTextView_fontFamily,4
#DrawerArrowToggle_arrowHeadLength,4
#AppBarLayout_elevation,4
android.R.attr#enabled},4
#TextInputLayout_passwordToggleTintMode,4
#SearchView_android_inputType,4
android:orderInCategory,4
<tr><td>alternative</td><td>40000</td><td></td></tr>,4
#TextInputLayout_passwordToggleContentDescription,4
#MenuItem_iconTintMode,4
#AppBarLayout_Layout},4
#View_android_focusable,4
android:enabled,4
#MaterialEditText_met_helperTextAlwaysShown,4
#MapAttrs_cameraZoom,4
<tr><td>all</td><td>77</td><td></td></tr>,4
#DesignTheme_bottomSheetDialogTheme,4
#AppCompatTheme_toolbarStyle,4
#MenuItem_android_alphabeticShortcut,4
#MaterialEditText_met_floatingLabelPadding,4
#AppCompatTheme_controlBackground,4
#MapAttrs_cameraTilt,4
#AppCompatTheme_textAppearanceListItem,4
#ActionMode_closeItemLayout,4
#AppCompatTheme_ratingBarStyle,4
#AppCompatTheme_actionModeSplitBackground,4
<tr><td>scrollable</td><td>0</td><td></td></tr>,4
#AppCompatTheme_actionModeCopyDrawable,4
#ConstraintSet_layout_constraintGuide_percent,4
#AppCompatTheme_editTextBackground,4
#AppCompatTextHelper_android_textAppearance,4
android:layout_width,4
#MaterialEditText_met_primaryColor,4
#ConstraintLayout_Layout_layout_constraintBottom_toTopOf,4
#ConstraintSet_android_rotationY,4
android:layout_height,4
#ListPopupWindow},4
#CollapsingToolbarLayout_toolbarId,4
#MenuItem_android_enabled,4
android.R.attr#menuCategory},4
<tr><td>secondary</td><td>30000</td><td></td></tr>,4
#ActionBar_hideOnContentScroll,4
#ConstraintSet_android_layout_marginBottom,4
#SnackbarLayout_elevation,4
#RecyclerView_spanCount,4
#AppCompatTheme_tooltipFrameBackground,4
#CollapsingToolbarLayout_statusBarScrim,4
#AppCompatTheme_selectableItemBackgroundBorderless,4
#BezelImageView_biv_drawCircularShadow,4
#MaterialEditText_met_floatingLabelText,4
#AppCompatTheme_dividerVertical,4
#MenuItem_android_title,4
#CoordinatorLayout},4
#AppCompatTextView_autoSizeMaxTextSize,4
#CardView_android_minWidth,4
#AppCompatTextView_textAllCaps,4
#SwitchCompat_android_textOn,4
<tr><td>collapseActionView</td><td>8</td><td></td></tr>,4
#MapAttrs_ambientEnabled,4
#AppCompatTheme_colorSwitchThumbNormal,4
#ConstraintLayout_Layout_constraintSet,4
#ForegroundLinearLayout_foregroundInsidePadding,4
#ActionBar_subtitle,4
<tr><td>showTitle</td><td>8</td><td></td></tr>,4
#MenuItem_numericModifiers,4
#MenuView_android_horizontalDivider,4
#SearchView_voiceIcon,4
#AppCompatTheme_textAppearanceSearchResultTitle,4
#MenuItem_actionLayout,4
#ConstraintLayout_Layout_layout_editor_absoluteY,4
#MenuView_android_itemBackground,4
#Toolbar_title,4
#ActionBar_progressBarPadding,4
#MapAttrs_latLngBoundsNorthEastLongitude,4
#TextInputLayout_counterEnabled,4
android:textAppearance,4
#ConstraintSet_layout_constraintHorizontal_bias,4
#Iconics_ico_background_contour_color,4
#AppCompatTheme_actionBarPopupTheme,4
#ConstraintLayout_Layout_layout_constraintVertical_chainStyle,4
#AppCompatTheme_buttonBarButtonStyle,4
#FontFamilyFont_fontWeight,4
#CardView_android_minHeight,4
#AppBarLayout_expanded,4
#BottomNavigationView_itemTextColor,4
#RecyclerView_fastScrollHorizontalTrackDrawable,4
#AppCompatTheme_windowActionBar,4
#ViewStubCompat_android_inflatedId,4
#SearchView_android_maxWidth,4
#AppCompatTheme_editTextStyle,4
#LinearLayoutCompat_Layout_android_layout_height,4
#SearchView_iconifiedByDefault,4
#AppBarLayout_Layout_layout_scrollFlags,4
#ConstraintSet_layout_editor_absoluteX,4
#ConstraintSet_layout_constraintVertical_chainStyle,4
#ConstraintSet_layout_constraintLeft_creator,4
#MaterialDrawer_material_drawer_header_selection_text,4
#ListPopupWindow_android_dropDownHorizontalOffset,4
#ConstraintSet_android_translationZ,4
#AppCompatTheme_borderlessButtonStyle,4
#MenuItem_actionProviderClass,4
#PopupWindow_android_popupAnimationStyle,4
#Iconics_ico_corner_radius,4
#Toolbar_android_minHeight,4
#View_theme,4
#Spinner_popupTheme,4
#ScrimInsetsView_siv_insetForeground,4
#AppCompatTheme_colorButtonNormal,4
#ConstraintLayout_Layout_layout_goneMarginStart,4
#ConstraintSet_layout_goneMarginEnd,4
#ScrollingViewBehavior_Layout_behavior_overlapTop,4
#AppCompatImageView_tintMode,4
#AppCompatTheme_actionModeWebSearchDrawable,4
#LoadingImageView_imageAspectRatioAdjust,4
<tr><td>none</td><td>1</td><td></td></tr>,4
#View_paddingStart,4
#MaterialEditText_met_iconPadding,4
<tr><td>disableHome</td><td>20</td><td></td></tr>,4
#ConstraintSet_layout_constraintTop_toTopOf,4
#RecyclerView_reverseLayout,4
<tr><td>async</td><td>1</td><td></td></tr>,4
android:layout_width}</code></td><td></td></tr>,4
#ActionBar_progressBarStyle,4
#ConstraintSet_android_transformPivotX,4
#AppCompatTheme_textAppearanceSmallPopupMenu,4
#FloatingActionButton_Behavior_Layout_behavior_autoHide,4
#ColorStateListItem_alpha,4
android.R.attr#focusable},4
#Toolbar_titleTextColor,4
#ActionBar_itemPadding,4
<tr><td>italic</td><td>1</td><td></td></tr>,4
<tr><td>adjust_width</td><td>1</td><td></td></tr>,4
#AppCompatTheme_windowNoTitle,4
#Toolbar_buttonGravity,4
<tr><td>wrap_content</td><td>0</td><td></td></tr>,4
#ConstraintSet_android_layout_marginStart,4
#LinearLayoutCompat_divider,4
android:enabled}</code></td><td></td></tr>,4
#Toolbar_titleMarginStart,4
#MenuView_android_verticalDivider,4
#Toolbar_contentInsetEnd,4
#MenuItem_alphabeticModifiers,4
<tr><td>all</td><td>2</td><td></td></tr>,4
#AppCompatTheme_alertDialogStyle,4
#AppCompatTheme_autoCompleteTextViewStyle,4
<tr><td>standard</td><td>0</td><td></td></tr>,4
#AppCompatTheme_panelMenuListTheme,4
#ButtonBarLayout_allowStacking,4
//,4
#ConstraintSet_android_layout_marginLeft,4
<tr><td>uniform</td><td>1</td><td></td></tr>,4
#CardView_cardUseCompatPadding,4
#ActionBar_elevation,4
#MenuItem_actionViewClass,4
#AppCompatTheme_listMenuViewStyle,4
#MaterialEditText_met_floatingLabelAnimating,4
#BottomNavigationView_itemBackground,4
#Iconics_ico_contour_width,4
#AppCompatTheme_activityChooserViewStyle,4
#TextInputLayout_errorEnabled,4
<tr><td>useLogo</td><td>1</td><td></td></tr>,4
#ViewBackgroundHelper_android_background,4
#SwitchCompat_switchTextAppearance,4
#TextInputLayout_passwordToggleTint,4
android:visible,4
#AppCompatTheme_actionBarTheme,4
#LinearLayoutCompat_android_gravity,4
#ActionBar_logo,4
#ConstraintSet_layout_constraintRight_toRightOf,4
<tr><td>withText</td><td>4</td><td></td></tr>,4
#AppCompatImageView_tint,4
#MapAttrs_uiRotateGestures,4
#SearchView_layout,4
#ConstraintSet_android_elevation,4
#ActionBar_divider,4
#AppBarLayoutStates_state_collapsed,4
#SwitchCompat_android_textOff,4
#MapAttrs_useViewLifecycle,4
#ScrimInsetsFrameLayout_insetForeground,4
#AppCompatTheme_actionModeCloseButtonStyle,4
#Toolbar_contentInsetStart,4
android:popupBackground}</code></td><td></td></tr>,4
#ConstraintLayout_Layout_layout_constraintRight_toRightOf,4
#AppCompatTheme_spinnerStyle,4
#ConstraintSet_layout_goneMarginBottom,4
#MaterialEditText_met_minCharacters,4
#BottomSheetBehavior_Layout_behavior_skipCollapsed,4
#Toolbar_titleMargins,4
#ConstraintSet_layout_constraintBottom_toTopOf,4
#ConstraintSet_layout_constraintStart_toEndOf,4
#CompoundButton_buttonTintMode,4
#FloatingActionButton_borderWidth,4
#AppBarLayout_Layout_layout_scrollInterpolator,4
#ActivityChooserView_expandActivityOverflowButtonDrawable,4
#MaterialEditText_met_bottomTextSize,4
#SwitchCompat_switchMinWidth,4
#AppCompatTheme_dividerHorizontal,4
#AppCompatTextView_autoSizeStepGranularity,4
#ListPopupWindow_android_dropDownVerticalOffset,4
#TabLayout_tabBackground,4
<tr><td>listMode</td><td>1</td><td></td></tr>,4
#AppBarLayoutStates},4
#AppCompatTheme_textAppearanceListItemSecondary,4
#ConstraintSet_layout_constraintWidth_default,4
#ConstraintSet_android_translationX,4
#ActionBar_navigationMode,4
#ConstraintSet_layout_constraintLeft_toLeftOf,4
#AppCompatTheme_panelMenuListWidth,4
#ActionBar_indeterminateProgressStyle,4
#Toolbar_collapseIcon,4
#AppCompatTheme_listPreferredItemHeightSmall,4
#MenuGroup_android_menuCategory,4
#MenuItem_tooltipText,4
#AppCompatTheme_actionModeSelectAllDrawable,4
#AppCompatTheme_dropdownListPreferredItemHeight,4
android:gravity}</code></td><td></td></tr>,4
#TextInputLayout_hintAnimationEnabled,4
#AppCompatTheme_listPreferredItemPaddingLeft,4
#ConstraintLayout_Layout_layout_constraintWidth_max,4
#AppCompatTheme_buttonBarNegativeButtonStyle,4
#MenuItem_android_id,4
#AlertDialog_listLayout,4
#AppCompatTheme_windowFixedHeightMajor,4
android:popupBackground,4
#AppCompatTheme_windowActionBarOverlay,4
#FontFamily_fontProviderCerts,4
#MaterialEditText_met_validateOnFocusLost,4
#Iconics_ico_offset_y,4
#Toolbar_titleMarginTop,4
#Toolbar_contentInsetLeft,4
#MaterialEditText_met_textColor,4
<tr><td>highlight</td><td>2</td><td></td></tr>,4
#CollapsingToolbarLayout_expandedTitleMarginStart,4
#AppCompatTheme_imageButtonStyle,4
#Toolbar_maxButtonHeight,4
#CoordinatorLayout_Layout_android_layout_gravity,4
#ConstraintSet_android_visibility,4
#AppCompatTheme_popupWindowStyle,4
#ConstraintSet_android_scaleX,4
<tr><td>blocking</td><td>0</td><td></td></tr>,4
#ConstraintLayout_Layout_layout_constraintHorizontal_chainStyle,4
#Iconics_ico_color,4
#ConstraintLayout_Layout_layout_constraintGuide_percent,4
#RecyclerView_fastScrollVerticalThumbDrawable,4
#CoordinatorLayout_Layout_layout_dodgeInsetEdges,4
#NavigationView_itemTextAppearance,4
#MaterialDrawer_material_drawer_primary_text,4
android:windowAnimationStyle}</code></td><td></td></tr>,4
#SwitchCompat_splitTrack,4
#AppCompatTheme_windowFixedWidthMajor,4
#LinearLayoutCompat_android_weightSum,4
android:menuCategory}</code></td><td></td></tr>,4
#LinearLayoutCompat_showDividers,4
android.R.attr#textColorHint},4
#ConstraintSet_layout_constraintHeight_min,4
<tr><td>auto</td><td>10</td><td></td></tr>,4
android.R.attr#layout_width},4
#ConstraintLayout_Layout_android_maxHeight,4
#AppCompatTheme_switchStyle,4
<tr><td>end</td><td>4</td><td></td></tr>,4
#SearchView_searchIcon,4
#AppCompatTextHelper_android_drawableLeft,4
#AppCompatTheme_dialogTheme,4
#MaterialDrawer_material_drawer_hint_icon,4
#ConstraintSet_layout_constraintGuide_begin,4
#ConstraintLayout_Layout_android_orientation,4
#NavigationView_android_background,4
#AppCompatTheme_editTextColor,4
#ColorStateListItem_android_alpha,4
#SearchView_closeIcon,4
#AppCompatTheme_actionModeCutDrawable,4
#FloatingActionButton_rippleColor,4
#LinearLayoutCompat_android_baselineAlignedChildIndex,4
#AlertDialog_buttonPanelSideLayout,4
<tr><td>snap</td><td>10</td><td></td></tr>,4
#CoordinatorLayout_Layout_layout_behavior,4
<tr><td>adjust_height</td><td>2</td><td></td></tr>,4
#RecycleListView},4
<tr><td>homeAsUp</td><td>4</td><td></td></tr>,4
#TextAppearance_android_textColorLink,4
#ActivityChooserView_initialActivityCount,4
#BottomNavigationView_elevation,4
#ConstraintLayout_Layout_layout_constraintHorizontal_weight,4
#AppCompatTheme_dropDownListViewStyle,4
#MaterialEditText_met_textColorHint,4
#Toolbar_titleMarginEnd,4
#ActionBar_contentInsetEnd,4
#AppCompatTheme_actionModePopupWindowStyle,4
#MenuItem_iconTint,4
#ConstraintLayout_Layout_layout_goneMarginBottom,4
#AppCompatTheme_colorPrimary,4
android.R.attr#orderInCategory},4
android:thumb}</code></td><td></td></tr>,4
#MaterialEditText_met_typeface,4
#ActionBar_backgroundSplit,4
#MenuItem_android_numericShortcut,4
#ActionMenuItemView_android_minWidth,4
#MaterialEditText_met_autoValidate,4
#SwitchCompat_android_thumb,4
#AppCompatTheme_windowFixedWidthMinor,4
#MaterialEditText_met_floatingLabelTextSize,4
<tr><td>beginning</td><td>1</td><td></td></tr>,4
#AppCompatTextView_android_textAppearance,4
#FontFamily_fontProviderFetchStrategy,4
#AppCompatTheme_listDividerAlertDialog,4
#ActionBar_subtitleTextStyle,4
#AppCompatTheme_radioButtonStyle,4
#ActionBar_background,4
#CardView_cardCornerRadius,4
#MapAttrs_mapType,4
#SearchView_submitBackground,4
#SwitchCompat_track,4
#MaterialDrawer_material_drawer_hint_text,4
#AppCompatTextView_autoSizeTextType,4
#AppCompatTheme_selectableItemBackground,4
#BottomNavigationView_itemIconTint,4
#MenuView_subMenuArrow,4
#DrawerArrowToggle_color,4
#CardView_contentPaddingBottom,4
#LinearLayoutCompat_dividerPadding,4
<tr><td>terrain</td><td>3</td><td></td></tr>,4
#AppCompatTheme_textColorSearchUrl,4
#TextInputLayout_counterOverflowTextAppearance,4
#ConstraintSet_layout_constraintHeight_default,4
#TextInputLayout_passwordToggleDrawable,4
#TextInputLayout_counterMaxLength,4
#AppCompatTheme_buttonBarStyle,4
#AppCompatTextHelper_android_drawableStart,4
#ConstraintSet_layout_constraintTop_toBottomOf,4
#ConstraintLayout_Layout_layout_constraintRight_toLeftOf,4
#ConstraintSet_android_layout_marginRight,4
#ConstraintLayout_Layout_layout_constraintBottom_toBottomOf,4
android:focusable}</code></td><td></td></tr>,4
#CardView_contentPadding,4
#CardView_cardPreventCornerOverlap,4
#AppBarLayout_android_touchscreenBlocksFocus,4
#Iconics_ico_offset_x,4
#AppBarLayout_android_keyboardNavigationCluster,4
<tr><td>enterAlways</td><td>4</td><td></td></tr>,4
#AlertDialog_showTitle,4
#FloatingActionButton_useCompatPadding,4
<tr><td>tabMode</td><td>2</td><td></td></tr>,4
#ConstraintLayout_Layout_layout_constraintTop_creator,4
#MenuItem_android_checkable,4
#MaterialDrawer_material_drawer_secondary_text,4
#CollapsingToolbarLayout_expandedTitleTextAppearance,4
#NavigationView_itemIconTint,4
#ConstraintLayout_Layout_layout_goneMarginTop,4
#LoadingImageView_imageAspectRatio,4
#Spinner_android_popupBackground,4
android.R.attr#gravity},4
#NavigationView_itemTextColor,4
#ConstraintSet_layout_goneMarginTop,4
#MenuItem_android_checked,4
#MaterialEditText_met_floatingLabelAlwaysShown,4
#ConstraintLayout_Layout_layout_constraintWidth_min,4
#ConstraintLayout_Layout_layout_constraintBottom_creator,4
#SwitchCompat_trackTint,4
#ConstraintLayout_Layout_layout_optimizationLevel,4
#CollapsingToolbarLayout_expandedTitleMarginBottom,4
#ConstraintSet_android_id,4
<tr><td>showCustom</td><td>10</td><td></td></tr>,4
#ConstraintLayout_Layout_layout_constraintBaseline_creator,4
#View_paddingEnd,4
#DesignTheme_textColorError,4
#SwitchCompat_showText,4
#CoordinatorLayout_Layout_layout_insetEdge,4
#TabLayout_tabPaddingEnd,4
#AppCompatTextHelper_android_drawableTop,4
<tr><td>fixed</td><td>1</td><td></td></tr>,4
#DrawerArrowToggle_drawableSize,4
#ConstraintLayout_Layout_layout_goneMarginLeft,4
#CoordinatorLayout_Layout_layout_anchorGravity,4
#NavigationView_elevation,4
#DrawerArrowToggle_spinBars,4
#TabLayout_tabMinWidth,4
#AppCompatTheme_alertDialogButtonGroupStyle,4
#PopupWindow_overlapAnchor,4
#MapAttrs_uiCompass,4
<tr><td>basic</td><td>4</td><td></td></tr>,4
#ConstraintLayout_Layout_layout_constraintVertical_weight,4
android:gravity,4
#AppCompatTheme_ratingBarStyleIndicator,4
#ConstraintSet_layout_editor_absoluteY,4
#MenuView_preserveIconSpacing,4
android.R.attr#textAppearance},4
#AppCompatTheme_actionModeShareDrawable,4
<tr><td>icon_only</td><td>2</td><td></td></tr>,4
#AppCompatTheme_seekBarStyle,4
#MaterialEditText_met_clearButton,4
#ActionMode_subtitleTextStyle,4
#ConstraintSet_layout_constraintRight_creator,4
#RecyclerView_stackFromEnd,4
#AppCompatTheme_buttonStyleSmall,4
#Iconics_ico_padding,4
#ConstraintSet_layout_constraintHorizontal_weight,4
#AppCompatTheme_ratingBarStyleSmall,4
#ConstraintLayout_Layout_layout_constraintBaseline_toBaselineOf,4
#FontFamilyFont_font,4
#FloatingActionButton_backgroundTintMode,4
#MaterialEditText_met_helperText,4
#ConstraintSet_layout_goneMarginLeft,4
#AppCompatTheme_listPreferredItemHeight,4
#MenuItem_showAsAction,4
#SwitchCompat_thumbTint,4
#TabLayout_tabMode,4
#TextAppearance_android_fontFamily,4
#ActivityChooserView},4
#MapAttrs_latLngBoundsSouthWestLatitude,4
